id,dt,direction,phone,message,status,is_failed
1,2025-09-19 17:11:30,inbox,0653988461,อะเกนพลีสสสส,รับเข้า (real-time),0
2,2025-09-19 17:12:31,inbox,0653988461,ไหนลองอีกครั้งซิ,รับเข้า (real-time),0
3,2025-09-19 17:13:58,sent,0653988461,เทสๆๆระบบเฟล,ส่งไม่สำเร็จ: ไม่มี SIM Card หรือ SIM ไม่พร้อมใช้งาน,0
4,2025-09-19 17:14:37,sent,0653988461,ไหนลองอีกครั้งซิ,ส่งไม่สำเร็จ: ไม่มี SIM Card หรือ SIM ไม่พร้อมใช้งาน,0
5,2025-09-20 11:43:27,sent,0653988461,อะโหย๋ๆๆๆ,ส่งไม่สำเร็จ: ไม่มีการเชื่อมต่อ Serial
